time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	0	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.714343	0.588512	7.07429	1.64919e-017	1.52271e-018	radar	74.3391	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.16102	0.493478	7.07668	-0.0688151	-0.00828624	lidar	0.184997	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.27665	0.513682	7.07176	0.192032	0.0388485	radar	1.81006	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.61358	0.594653	7.09102	0.245144	0.0531429	lidar	0.2014	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.82135	0.569772	6.33588	0.093607	-0.057697	radar	4.24001	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.15299	0.616067	6.35043	0.108325	-0.0296255	lidar	0.160282	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.36901	0.643373	5.59345	0.0896503	-0.214076	radar	7.7517	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.6478	0.666364	5.59607	0.0781087	-0.218121	lidar	0.00329254	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.91489	0.656243	5.51176	0.0204214	-0.418894	radar	0.4834	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.15008	0.653641	5.46891	0.00482067	-0.392419	lidar	1.08968	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.43791	0.545875	5.50532	-0.158333	-0.877824	radar	1.494	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.74289	0.430718	5.57865	-0.289078	-1.1436	lidar	2.23422	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	4.02237	0.516832	5.54096	-0.143213	-0.569823	radar	4.07344	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.29639	0.508036	5.52315	-0.137759	-0.485736	lidar	0.338741	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.55616	0.54448	5.43436	-0.095473	-0.33767	radar	1.9284	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.74262	0.654275	5.2596	0.0121538	-0.0676054	lidar	12.4028	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.99469	0.652771	5.19216	0.00276144	-0.081466	radar	1.76007	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
